ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
N,33,1.22,Çc,Ç`,300,131,,1964,43,0,,0,"1,610,800","505,248","1,077,235","2,786,096","587,987",1,1,1,1,1,0.205,0.027,37,1.09,"23,603","7,158",0.28,1.218,0.159,6,3.92,"25,744",0.99,C
N,34,0.88,Çc,Çj,200,21,,2004,3,0,,0,"2,954,136","505,248","1,077,235","2,786,096","94,960",1,1,1,1,1,0.205,0.004,231,0.96,"3,812","7,121",1.7,1.218,0.026,39,1.07,"7,937",1.89,A
N,35,0.88,Çc,Çs,200,28,,1987,20,0,,0,"2,954,136","505,248","1,077,235","2,786,096","125,895",1,1,1,1,1,0.205,0.006,174,0.96,"5,054","7,151",1.28,1.218,0.034,29,1.23,"9,162",1.65,A
N,36,0.9,Çc,Çs,150,10,,1986,21,0,,0,"1,610,800","505,248","1,077,235","2,786,096","46,029",1,1,1,1,1,0.205,0.002,476,0.96,"1,848","5,784",2.84,1.218,0.012,80,0.96,"5,784",2.84,A
N,37,0.9,Çc,Çs,150,5,,1986,21,0,,0,"1,610,800","505,248","1,077,235","2,786,096","21,159",1,1,1,1,1,0.205,0.001,1036,0.96,849,"5,761",6.16,1.218,0.006,175,0.96,"5,761",6.16,A
N,38,1.06,Çc,Çs,200,12,,0,2007,0,,0,"133,758","505,248","1,077,235","2,786,096","55,730",1,1,1,1,1,0.205,0.003,393,0.96,"2,237","4,376",1.78,1.218,0.015,66,0.96,"4,376",1.78,A
N,39,1,Çc,Çs,150,56,,1974,33,0,,0,"53,133","505,248","1,077,235","2,786,096","250,368",1,1,1,1,1,0.205,0.011,88,0.96,"10,050","4,485",0.4,1.218,0.068,15,1.85,"8,643",0.78,C
N,40,1.18,Çc,Çs,150,2,,1979,28,0,,0,"133,758","505,248","1,077,235","2,786,096","10,662",1,1,1,1,1,0.205,0,2056,0.96,428,"4,332",9.18,1.218,0.003,346,0.96,"4,332",9.18,A
N,41,1.18,Çc,Çs,200,2,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","7,862",1,1,1,1,1,0.205,0,2788,0.96,316,"4,252",12.21,1.218,0.002,470,0.96,"4,252",12.21,A
N,42,0.86,Çc,Ç`,200,190,,1968,39,0,,0,"53,133","505,248","1,077,235","2,786,096","853,189",1,1,1,1,1,0.205,0.039,26,1.29,"34,248","6,805",0.18,1.218,0.231,4,5.66,"29,856",0.79,C
