ward,no.,leakage/y/m/d,leakage point,cause,repair way,other repair,remove or not,diameter,leakage year,construction year
F,962,昭和60年00月00日,不明,不明,不明,,不明,300,1985,1969
F,696,平成7年3月13日,不明,不明,管取替え,折損,不明,200,1995,1980
F,721,昭和54年00月00日,不明,不明,不明,,不明,150,1979,1976
F,1191,平成4年11月17日,不明,不明,不明,折損　ｌ＝１．４,不明,200,1992,1981
F,1237,昭和60年00月00日,不明,不明,不明,,不明,200,1985,1980
F,1285,平成06年05月00日,不明,不明,不明,,不明,150,1994,1978
F,1244,平成05年09月00日,不明,不明,不明,,不明,200,1993,1973
F,1356,平成7年3月12日,継手,不明,漏水防止金具,,不明,150,1995,1968
F,1382,昭和55年00月00日,不明,不明,不明,,不明,150,1980,1967
F,986,平成16年7月8日,配水管本体,不明,割継輪,,未撤去,100,2004,1969
F,1616,平成06年01月00日,不明,不明,不明,,不明,150,1994,1979
F,1661,平成07年01月00日,不明,不明,その他,震災,不明,150,1995,1969
F,1670,平成07年01月00日,不明,不明,その他,震災,不明,150,1995,1969
F,1714,平成14年3月13日,不明,その他,不明,修繕工事,撤去済,200,2002,1966
F,1857,平成17年3月16日,不明,その他,割継輪,配水設備修繕工事,未撤去,100,2005,1986
F,1737,昭和52年00月00日,不明,不明,不明,,不明,150,1977,1968
G,57,平成02年00月00日,配水管本体,不明,不明,,未撤去,150,1990,1983
G,57,平成02年00月00日,配水管本体,不明,不明,,未撤去,150,1990,1983
G,57,平成02年00月00日,配水管本体,不明,不明,,未撤去,150,1990,1983
G,57,平成02年00月00日,配水管本体,不明,不明,,未撤去,150,1990,1983
G,87,平成5年8月24日,不明,不明,管取替え,,未撤去,300,1993,1982
G,71,平成07年01月00日,配水管本体,不明,その他,,未撤去,300,1995,1983
G,155,昭和60年00月00日,配水管本体,不明,不明,,未撤去,150,1985,1977
G,155,昭和60年00月00日,配水管本体,不明,不明,,未撤去,150,1985,1977
G,166,平成07年01月00日,配水管本体,不明,その他,,未撤去,100,1995,1978
G,156,平成07年01月00日,配水管本体,不明,その他,,未撤去,150,1995,1979
G,540,昭和55年00月00日,不明,不明,不明,,撤去済,100,1980,1968
G,817,昭和61年11月20日,配水管本体,不明,その他,外面バンド,未撤去,300,1986,1968
G,829,昭和61年00月00日,不明,不明,その他,,未撤去,150,1986,1985
G,1030,昭和59年00月00日,不明,不明,その他,,未撤去,150,1984,1976
G,1194,昭和60年00月00日,不明,その他,不明,,未撤去,150,1985,不明
G,1236,昭和60年00月00日,不明,その他,不明,,未撤去,150,1985,1982
G,1324,昭和62年00月00日,不明,不明,その他,,未撤去,150,1987,1969
G,1374,平成03年12月00日,不明,不明,その他,,未撤去,200,1991,1967
G,1374,昭和63年00月00日,不明,不明,その他,,未撤去,200,1988,1967
G,1238,平成06年11月00日,不明,不明,その他,,未撤去,150,1994,1986
G,1238,平成04年02月00日,不明,不明,その他,,未撤去,150,1992,1986
G,1377,平成06年09月00日,不明,不明,その他,,未撤去,100,1994,1976
H,217,昭和59年00月00日,不明,不明,不明,,未撤去,200,1984,1974
H,344,昭和62年00月00日,不明,不明,不明,,未撤去,150,1987,1971
H,453,平成01年00月00日,不明,不明,不明,,未撤去,150,1989,1983
H,721,平成8年12月4日,不明,不明,割継輪,割継輪,未撤去,150,1996,1969
H,761,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1974
H,802,平成06年10月00日,不明,不明,不明,,未撤去,150,1994,1979
H,848,平成13年1月8日,配水管本体,不明,管取替え,,撤去済,100,2001,1978
H,529,平成12年8月3日,配水管本体,不明,割継輪,,未撤去,300,2000,1968
H,688,平成05年02月00日,不明,不明,不明,,未撤去,300,1993,1965
H,688,平成03年08月00日,不明,不明,不明,,未撤去,300,1991,1965
H,1024,平成8年6月29日,不明,不明,割継輪,,未撤去,200,1996,1967
H,1068,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1977
H,1219,平成18年7月10日,不明,不明,不明,,不明,75,2006,2006
H,1236,平成17年4月26日,配水管本体,不明,割継輪,,未撤去,150,2005,1967
H,1516,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1974
H,1526,平成03年05月00日,不明,不明,不明,,未撤去,150,1991,1966
H,1526,平成03年05月00日,不明,不明,不明,,未撤去,150,1991,1966
H,1538,平成9年1月23日,不明,不明,割継輪,,未撤去,100,1997,1966
H,1544,平成8年12月8日,不明,不明,割継輪,￠１００割継輪,撤去済,100,1996,1991
H,1543,平成19年3月29日,配水管本体,不明,割継輪,,撤去済,300,2007,1981
H,1877,平成01年00月00日,不明,不明,不明,,撤去済,150,1989,1988
H,1887,平成01年00月00日,不明,不明,不明,,撤去済,150,1989,1967
I,131,その他00年00月00日,不明,不明,不明,,未撤去,100,不明,1978
I,132,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1976
I,137,平成03年12月00日,不明,不明,不明,,未撤去,150,1991,1980
I,233,平成13年11月24日,不明,その他,割継輪,特殊割継輪,未撤去,150,2001,1973
I,468,平成03年10月00日,不明,不明,不明,,未撤去,300,1991,1973
I,62,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1981
I,488,その他00年00月00日,不明,不明,不明,,未撤去,200,不明,1970
I,488,その他00年00月00日,不明,不明,不明,,未撤去,200,不明,1970
I,544,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1980
I,88,昭和58年00月00日,不明,不明,不明,,未撤去,200,1983,1970
I,81,その他00年00月00日,不明,不明,不明,,未撤去,200,不明,1970
I,561,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1980
I,582,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1972
I,582,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1972
I,617,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1972
I,636,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1983
I,666,平成8年10月4日,不明,不明,管取替え,,撤去済,300,1996,1986
I,682,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1975
I,828,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1978
