ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
Y,33,1.15,Çc,Çs,150,431,,1977,30,0,,0,"1,610,800","505,248","1,077,235","2,786,096","1,936,183",1,1,1,1,1,0.205,0.088,11,2.35,"77,721","18,602",0.22,1.218,0.524,2,10.88,"86,121",1.01,B
Y,34,0.82,Çc,Çs,150,100,,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","448,021",1,1,1,1,1,0.205,0.02,49,0.96,"17,984","4,675",0.24,1.218,0.121,8,3.05,"14,853",0.75,C
Y,35,0.82,Çc,Çs,150,98,,1978,29,0,,0,"133,758","505,248","1,077,235","2,786,096","441,919",1,1,1,1,1,0.205,0.02,50,0.96,"17,739","4,746",0.24,1.218,0.12,8,3.05,"15,080",0.77,C
Y,36,0.82,Çc,Çs,150,95,,1978,29,0,,0,"133,758","505,248","1,077,235","2,786,096","427,575",1,1,1,1,1,0.205,0.02,51,0.96,"17,163","4,733",0.25,1.218,0.116,9,2.77,"13,656",0.72,C
Y,37,0.82,Çc,Çs,150,95,,1978,29,0,,0,"133,758","505,248","1,077,235","2,786,096","428,028",1,1,1,1,1,0.205,0.02,51,0.96,"17,182","4,733",0.25,1.218,0.116,9,2.77,"13,657",0.72,C
Y,38,0.82,Çc,Ç`,100,3,,1978,29,0,,0,"53,133","505,248","1,077,235","2,786,096","12,522",1,1,1,1,1,0.205,0.001,1751,0.96,503,"4,257",7.68,1.218,0.003,295,0.96,"4,257",7.68,A
Y,39,0.92,Çc,ÇmÇr,200,14,,2001,6,0,,0,"2,954,136","505,248","1,077,235","2,786,096","62,399",1,1,1,1,1,0.205,0.003,351,0.96,"2,505","7,090",2.57,1.218,0.017,59,0.96,"7,090",2.57,A
Y,40,0.77,Çc,Çs,200,228,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,027,146",1,1,1,1,1,0.205,0.047,21,1.47,"41,231","12,274",0.27,1.218,0.278,4,5.66,"47,260",1.04,B
Y,41,0.96,Çc,Ç`,150,868,,1968,39,0,,0,"2,954,136","505,248","1,077,235","2,786,096","3,901,683",1,1,1,1,1,0.205,0.178,6,3.92,"156,619","44,000",0.25,1.218,1.057,1,21.48,"241,100",1.4,B
Y,42,0.77,Çc,Çs,200,114,,1984,23,0,,0,"2,954,136","505,248","1,077,235","2,786,096","512,806",1,1,1,1,1,0.205,0.023,43,1.02,"20,585","7,992",0.35,1.218,0.139,7,3.42,"26,797",1.18,B
Y,43,0.96,Çc,ÇmÇr,150,7,,1996,11,0,,0,"2,954,136","505,248","1,077,235","2,786,096","30,279",1,1,1,1,1,0.205,0.001,724,0.96,"1,215","7,059",5.27,1.218,0.008,122,0.96,"7,059",5.27,A
Y,44,0.96,Çc,Çs,150,171,,1973,34,0,,0,"133,758","505,248","1,077,235","2,786,096","769,873",1,1,1,1,1,0.205,0.035,28,1.25,"30,904","6,590",0.19,1.218,0.209,5,4.61,"24,305",0.71,C
Y,45,0.96,Çc,ÇmÇr,200,179,,1996,11,0,,0,"2,954,136","505,248","1,077,235","2,786,096","805,993",1,1,1,1,1,0.205,0.037,27,1.27,"32,354","10,323",0.29,1.218,0.218,5,4.61,"37,473",1.05,B
Y,46,0.96,Çc,ÇmÇr,150,22,,1996,11,0,,0,"2,954,136","505,248","1,077,235","2,786,096","100,914",1,1,1,1,1,0.205,0.005,217,0.96,"4,051","7,127",1.6,1.218,0.027,37,1.09,"8,092",1.81,A
Y,47,0.77,Çc,Çs,150,284,,1981,26,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,276,276",1,1,1,1,1,0.205,0.058,17,1.69,"51,232","14,532",0.26,1.218,0.346,3,7.4,"63,633",1.13,B
Y,48,0.96,Çc,Çs,150,357,,1986,21,0,,0,"53,133","505,248","1,077,235","2,786,096","1,606,315",1,1,1,1,1,0.205,0.073,14,1.95,"64,480","11,755",0.17,1.218,0.435,2,10.88,"65,585",0.92,C
Y,49,0.77,Çc,Çj,300,12,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","52,569",1,1,1,1,1,0.205,0.002,417,0.96,"2,110","7,080",3.04,1.218,0.014,70,0.96,"7,080",3.04,A
Y,50,0.77,Çc,Çs,150,4,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","19,438",1,1,1,1,1,0.205,0.001,1128,0.96,780,"7,048",8.2,1.218,0.005,190,0.96,"7,048",8.2,A
Y,51,0.96,Çc,Çs,150,103,,1988,19,0,,0,"133,758","505,248","1,077,235","2,786,096","462,737",1,1,1,1,1,0.205,0.021,47,0.98,"18,575","4,866",0.24,1.218,0.125,8,3.05,"15,143",0.74,C
Y,52,0.92,Çc,Çs,200,15,,1984,23,0,,0,0,"505,248","1,077,235","2,786,096","67,670",1,1,1,1,1,0.205,0.003,324,0.96,"2,716","4,259",1.42,1.218,0.018,55,0.96,"4,259",1.42,A
Y,53,0.96,Çc,Çs,150,582,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","2,619,066",1,1,1,1,1,0.205,0.119,8,3.05,"105,133","21,474",0.19,1.218,0.709,1,21.48,"151,236",1.31,B
Y,54,0.96,Çc,Çs,100,4,,1986,21,0,,0,"53,133","505,248","1,077,235","2,786,096","19,801",1,1,1,1,1,0.205,0.001,1107,0.96,795,"4,264",4.87,1.218,0.005,186,0.96,"4,264",4.87,A
Y,55,0.96,Çc,Çs,100,4,,1980,27,0,,0,"536,574","505,248","1,077,235","2,786,096","19,984",1,1,1,1,1,0.205,0.001,1097,0.96,802,"4,728",5.35,1.218,0.005,185,0.96,"4,728",5.35,A
Y,56,0.77,Çc,Çs,100,6,,1986,21,0,,0,"53,133","505,248","1,077,235","2,786,096","29,066",1,1,1,1,1,0.205,0.001,754,0.96,"1,167","4,273",3.32,1.218,0.008,127,0.96,"4,273",3.32,A
Y,57,0.96,Çc,Çj,75,6,,1996,11,0,,0,"2,954,136","505,248","1,077,235","2,786,096","26,656",1,1,1,1,1,0.205,0.001,822,0.96,"1,070","7,055",5.98,1.218,0.007,139,0.96,"7,055",5.98,A
Y,58,0.77,Çc,Ç`,100,4,,1981,26,0,,0,"2,954,136","505,248","1,077,235","2,786,096","16,926",1,1,1,1,1,0.205,0.001,1295,0.96,679,"7,046",9.42,1.218,0.005,218,0.96,"7,046",9.42,A
Y,59,0.92,Çc,Çs,200,23,,1988,19,0,,0,"2,954,136","505,248","1,077,235","2,786,096","103,659",1,1,1,1,1,0.205,0.005,211,0.96,"4,161","7,129",1.55,1.218,0.028,36,1.11,"8,243",1.8,A
