inspect1,inspect2,interval,x0,x1,x2
1,2,3,1,0.375,0.045848392
1,2,3,1,0.375,0.045848392
1,2,3,1,0.375,0.045848392
1,1,3,1,0.375,0.045848392
1,2,3,1,0.375,0.049739258
1,2,3,1,0.375,0.049796993
1,2,3,1,0.375,0.049819301
1,2,3,1,0.375,0.049846071
1,2,3,1,0.375,0.049890421
1,2,3,1,0.375,0.049935305
1,2,3,1,0.375,0.049952884
1,2,3,1,0.30175,0.03816535
1,2,3,1,0.21875,0.03816535
1,2,3,1,0.28125,0.03816535
1,2,3,1,0.375,0.03816535
1,2,3,1,0.375,0.03816535
1,2,3,1,0.375,0.03816535
1,2,10,1,0.53125,0.073760764
1,2,10,1,0.53125,0.073760764
1,2,9,1,0.53125,0.073760764
1,2,9,1,0.53125,0.073760764
1,2,9,1,0.53125,0.073760764
1,2,9,1,0.53125,0.073760764
1,2,8,1,0.53125,0.073760764
1,2,8,1,0.53125,0.073760764
1,2,6,1,0.41540625,0.029215188
1,2,6,1,0.375,0.029215188
1,1,6,1,0.375,0.029215188
1,2,6,1,0.51746875,0.029215188
1,2,6,1,0.59375,0.029215188
1,2,6,1,0.375,0.029215188
1,3,8,1,0.375,0.029215188
1,2,9,1,0.4338125,0.029215188
1,3,10,1,0.59375,0.029215188
1,2,10,1,0.375,0.029215188
1,2,10,1,0.375,0.029215188
1,3,10,1,0.375,0.029215188
1,3,10,1,0.375,0.029215188
1,3,7,1,0.375,0.029215188
1,2,9,1,0.28,0.03453353
1,2,9,1,0.3125,0.03453353
1,2,8,1,0.3125,0.240315888
1,2,8,1,0.3508125,0.240315888
1,2,9,1,0.375,0.240315888
1,2,8,1,0.375,0.240315888
1,2,10,1,0.375,0.114558515
1,2,6,1,0.375,0.114558515
1,2,11,1,0.375,0.114558515
1,2,10,1,0.375,0.114558515
1,2,11,1,0.375,0.114558515
1,2,10,1,0.375,0.081113639
1,2,8,1,0.375,0.081113639
1,2,7,1,0.3125,0.081113639
1,2,11,1,0.375,0.081113639
1,2,10,1,0.375,0.081113639
1,2,9,1,0.375,0.081113639
1,2,11,1,0.375,0.081113639
1,3,5,1,0.375,0.081113639
1,2,9,1,0.375,0.081113639
1,2,7,1,0.3125,0.081113639
1,2,7,1,0.3644375,0.081113639
1,3,7,1,0.15625,0.071761924
1,3,7,1,0.15625,0.071761924
1,3,7,1,0.15625,0.071761924
1,3,7,1,0.15625,0.071761924
1,3,7,1,0.15625,0.071761924
1,3,7,1,0.15625,0.071761924
1,2,7,1,0.03125,0.054352385
1,2,7,1,0.03125,0.054352385
1,2,5,1,0.36709375,0.054352385
1,2,5,1,0.421875,0.054352385
1,2,5,1,0.3998125,0.054352385
1,2,7,1,0.03125,0.054352385
1,3,5,1,0.390625,0.054352385
1,2,5,1,0.3125,0.054352385
1,2,7,1,0.03125,0.052460626
1,2,5,1,0.3541875,0.052460626
1,2,5,1,0.375,0.052460626
1,2,5,1,0.367375,0.052460626
1,3,7,1,0.03125,0.052460626
1,2,5,1,0.34375,0.052460626
1,2,7,1,0.03125,0.052460626
1,2,5,1,0.34375,0.052460626
1,2,7,1,0.03125,0.052460626
1,2,5,1,0.34375,0.052460626
1,2,5,1,0.34375,0.052460626
1,3,7,1,0.03125,0.052460626
1,2,5,1,0.34375,0.052460626
1,3,7,1,0.03125,0.052460626
1,2,5,1,0.34375,0.052460626
1,2,5,1,0.34375,0.052460626
1,2,5,1,0.3488125,0.052460626
1,2,5,1,0.39840625,0.052460626
1,2,5,1,0.296875,0.052460626
1,2,5,1,0.390625,0.052460626
1,2,5,1,0.515625,0.083058939
1,2,5,1,0.334375,0.083058939
1,2,5,1,0.35621875,0.083058939
1,2,5,1,0.4625,0.083058939
1,2,5,1,0.363375,0.083058939
1,2,5,1,0.340625,0.083058939
1,2,7,1,0.03125,0.083058939
1,2,7,1,0.03125,0.083058939
1,2,5,1,0.375,0.083058939
1,2,7,1,0.03125,0.083058939
1,2,5,1,0.36925,0.083058939
1,2,5,1,0.39371875,0.083058939
1,2,5,1,0.33759375,0.083058939
1,2,5,1,0.3078125,0.083058939
1,2,5,1,0.3875,0.083058939
1,2,5,1,0.35625,0.083058939
1,2,5,1,0.3375,0.083058939
1,2,5,1,0.29671875,0.083058939
1,2,5,1,0.30625,0.152411547
1,2,7,1,0.03125,0.152411547
1,2,5,1,0.375,0.152411547
1,2,5,1,0.315625,0.152411547
1,2,5,1,0.29834375,0.152411547
1,2,7,1,0.03125,0.152411547
1,2,4,1,0.571875,0.152411547
1,1,4,1,0.5689375,0.152411547
1,2,4,1,0.75625,0.152411547
1,1,4,1,0.521875,0.152411547
1,2,4,1,0.659375,0.178717708
1,2,7,1,0.03125,0.169116138
1,2,7,1,0.0625,0.089680096
1,1,7,1,0.0625,0.089680096
1,2,6,1,0.4125,0.089680096
1,1,6,1,0.4261875,0.089680096
1,2,6,1,0.40946875,0.089680096
1,2,6,1,0.428125,0.089680096
1,2,6,1,0.41709375,0.089680096
1,1,6,1,0.4423125,0.089680096
1,2,7,1,0.3125,0.089680096
1,2,7,1,0.0625,0.089680096
1,2,7,1,0.052875,0.089680096
1,2,7,1,0.0625,0.089680096
1,2,7,1,0.4375,0.089680096
1,2,7,1,0.0625,0.089680096
1,2,7,1,0.4375,0.089680096
1,2,7,1,0.4375,0.089680096
1,2,3,1,0.0625,0.089680096
1,2,3,1,0.0625,0.089680096
1,2,7,1,0.375,0.089680096
1,2,7,1,0.375,0.089680096
1,2,7,1,0.375,0.113612636
1,3,7,1,0.375,0.113612636
1,3,7,1,0.375,0.113612636
1,2,7,1,0.375,0.113612636
1,3,7,1,0.375,0.113612636
1,2,7,1,0.375,0.113612636
1,2,7,1,0.03125,0.113612636
1,2,7,1,0.03125,0.113612636
1,2,7,1,0.03125,0.113612636
1,2,7,1,0.03125,0.113612636
1,2,7,1,0.03125,0.113612636
1,2,5,1,0.25,0.067103913
1,2,5,1,0.25,0.067103913
1,2,5,1,0.25,0.067103913
1,2,5,1,0.25,0.067103913
1,2,5,1,0.25,0.067103913
1,2,5,1,0.25,0.067103913
1,2,5,1,0.25,0.067103913
1,2,5,1,0.25,0.067103913
1,2,7,1,0.375,0.833864275
1,2,7,1,0.375,0.833864275
1,2,7,1,0.375,0.833864275
1,2,7,1,0.375,0.833864275
1,3,7,1,0.375,0.833864275
1,2,7,1,0.375,0.833864275
1,2,5,1,0.375,0.833864275
1,3,5,1,0.375,0.933743809
1,2,5,1,0.375,0.933743809
1,2,5,1,0.375,0.933743809
1,2,5,1,0.375,0.933743809
1,2,3,1,0.03125,0.933743809
1,2,3,1,0.03125,0.933743809
1,2,3,1,0.03125,0.933743809
